W(m),S(m),B(m),E(GPa),f'c(MPa),a0(m),ac(m),?c,?,F(?c),V(?c),"N(?c, ?)",Pmax (N)Avg,KsIC (MPa),CTODC(mm)
0.16,0.4,0.05,35.5,67.5,0.0041,0.0069,0.0434,0.5922,1.0584,1.3894,0.6445,7350.0000,0.5386,0.0024
0.16,0.4,0.05,35.5,67.5,0.0041,0.0075,0.0466,0.5516,1.0546,1.3880,0.6747,7350.0000,0.5561,0.0027
0.16,0.4,0.05,35.5,67.5,0.0041,0.0080,0.0498,0.5162,1.0510,1.3868,0.6998,7350.0000,0.5728,0.0030
0.16,0.4,0.05,35.5,67.5,0.0041,0.0085,0.0530,0.4851,1.0474,1.3857,0.7211,7350.0000,0.5889,0.0033
0.16,0.4,0.05,35.5,67.5,0.0041,0.0090,0.0562,0.4575,1.0439,1.3847,0.7393,7350.0000,0.6044,0.0036
0.16,0.4,0.05,35.5,67.5,0.0041,0.0095,0.0594,0.4329,1.0406,1.3838,0.7551,7350.0000,0.6193,0.0039
0.16,0.4,0.05,35.5,67.5,0.0041,0.0100,0.0626,0.4108,1.0374,1.3830,0.7690,7350.0000,0.6338,0.0041
0.16,0.4,0.05,35.5,67.5,0.0041,0.0105,0.0658,0.3908,1.0343,1.3824,0.7813,7350.0000,0.6478,0.0044
0.16,0.4,0.05,35.5,67.5,0.0041,0.0110,0.0690,0.3727,1.0313,1.3819,0.7923,7350.0000,0.6614,0.0047
0.16,0.4,0.05,35.5,67.5,0.0041,0.0115,0.0721,0.3562,1.0284,1.3815,0.8021,7350.0000,0.6747,0.0050
0.16,0.4,0.05,35.5,67.5,0.0041,0.0121,0.0753,0.3411,1.0256,1.3813,0.8109,7350.0000,0.6876,0.0052
0.16,0.4,0.05,35.5,67.5,0.0041,0.0126,0.0785,0.3273,1.0229,1.3811,0.8190,7350.0000,0.7002,0.0055
0.16,0.4,0.05,35.5,67.5,0.0041,0.0131,0.0817,0.3145,1.0203,1.3811,0.8263,7350.0000,0.7125,0.0058
0.16,0.4,0.05,35.5,67.5,0.0041,0.0136,0.0849,0.3026,1.0178,1.3812,0.8330,7350.0000,0.7245,0.0061
0.16,0.4,0.05,35.5,67.5,0.0041,0.0141,0.0881,0.2917,1.0154,1.3815,0.8391,7350.0000,0.7362,0.0063
0.16,0.4,0.05,35.5,67.5,0.0041,0.0146,0.0913,0.2815,1.0131,1.3818,0.8448,7350.0000,0.7478,0.0066
0.16,0.4,0.05,35.5,67.5,0.0041,0.0151,0.0945,0.2720,1.0109,1.3823,0.8500,7350.0000,0.7591,0.0069
0.16,0.4,0.05,35.5,67.5,0.0041,0.0156,0.0977,0.2631,1.0088,1.3829,0.8549,7350.0000,0.7702,0.0072
0.16,0.4,0.05,35.5,67.5,0.0041,0.0161,0.1009,0.2547,1.0068,1.3837,0.8594,7350.0000,0.7812,0.0075
0.16,0.4,0.05,35.5,67.5,0.0041,0.0167,0.1041,0.2469,1.0049,1.3846,0.8637,7350.0000,0.7919,0.0077
0.16,0.4,0.05,35.5,67.5,0.0041,0.0172,0.1073,0.2396,1.0031,1.3856,0.8676,7350.0000,0.8026,0.0080
0.16,0.4,0.05,35.5,67.5,0.0041,0.0177,0.1105,0.2326,1.0014,1.3867,0.8713,7350.0000,0.8130,0.0083
0.16,0.4,0.05,35.5,67.5,0.0041,0.0182,0.1137,0.2261,0.9998,1.3880,0.8748,7350.0000,0.8234,0.0086
0.16,0.4,0.05,35.5,67.5,0.0041,0.0187,0.1169,0.2199,0.9983,1.3894,0.8780,7350.0000,0.8336,0.0089
0.16,0.4,0.05,35.5,67.5,0.0041,0.0192,0.1201,0.2141,0.9968,1.3909,0.8811,7350.0000,0.8437,0.0091
0.16,0.4,0.05,35.5,67.5,0.0041,0.0197,0.1232,0.2085,0.9955,1.3926,0.8840,7350.0000,0.8537,0.0094
0.16,0.4,0.05,35.5,67.5,0.0041,0.0202,0.1264,0.2033,0.9942,1.3943,0.8868,7350.0000,0.8636,0.0097
0.16,0.4,0.05,35.5,67.5,0.0041,0.0207,0.1296,0.1983,0.9931,1.3963,0.8894,7350.0000,0.8734,0.0100
0.16,0.4,0.05,35.5,67.5,0.0041,0.0213,0.1328,0.1935,0.9920,1.3983,0.8918,7350.0000,0.8831,0.0103
0.16,0.4,0.05,35.5,67.5,0.0041,0.0218,0.1360,0.1889,0.9910,1.4005,0.8942,7350.0000,0.8927,0.0106
0.16,0.4,0.05,35.5,67.5,0.0041,0.0223,0.1392,0.1846,0.9901,1.4028,0.8964,7350.0000,0.9023,0.0109
0.16,0.4,0.05,35.5,67.5,0.0041,0.0228,0.1424,0.1805,0.9892,1.4053,0.8985,7350.0000,0.9118,0.0112
0.16,0.4,0.05,35.5,67.5,0.0041,0.0233,0.1456,0.1765,0.9885,1.4079,0.9005,7350.0000,0.9213,0.0115
0.16,0.4,0.05,35.5,67.5,0.0041,0.0238,0.1488,0.1727,0.9878,1.4106,0.9025,7350.0000,0.9307,0.0118
0.16,0.4,0.05,35.5,67.5,0.0041,0.0243,0.1520,0.1691,0.9872,1.4135,0.9043,7350.0000,0.9401,0.0121
0.16,0.4,0.05,35.5,67.5,0.0041,0.0248,0.1552,0.1656,0.9867,1.4165,0.9061,7350.0000,0.9495,0.0124
0.16,0.4,0.05,35.5,67.5,0.0041,0.0253,0.1584,0.1623,0.9863,1.4196,0.9077,7350.0000,0.9588,0.0127
0.16,0.4,0.05,35.5,67.5,0.0041,0.0259,0.1616,0.1591,0.9860,1.4229,0.9094,7350.0000,0.9681,0.0130
0.16,0.4,0.05,35.5,67.5,0.0041,0.0264,0.1648,0.1560,0.9857,1.4263,0.9109,7350.0000,0.9774,0.0133
0.16,0.4,0.05,35.5,67.5,0.0041,0.0269,0.1680,0.1530,0.9856,1.4299,0.9124,7350.0000,0.9866,0.0136
0.16,0.4,0.05,35.5,67.5,0.0041,0.0274,0.1712,0.1502,0.9855,1.4336,0.9138,7350.0000,0.9958,0.0139
0.16,0.4,0.05,35.5,67.5,0.0041,0.0279,0.1743,0.1474,0.9854,1.4375,0.9152,7350.0000,1.0051,0.0142
0.16,0.4,0.05,35.5,67.5,0.0041,0.0284,0.1775,0.1448,0.9855,1.4415,0.9165,7350.0000,1.0143,0.0146
0.16,0.4,0.05,35.5,67.5,0.0041,0.0289,0.1807,0.1422,0.9856,1.4456,0.9178,7350.0000,1.0235,0.0149
0.16,0.4,0.05,35.5,67.5,0.0041,0.0294,0.1839,0.1397,0.9859,1.4499,0.9190,7350.0000,1.0328,0.0152
0.16,0.4,0.05,35.5,67.5,0.0041,0.0299,0.1871,0.1373,0.9862,1.4543,0.9202,7350.0000,1.0420,0.0156
0.16,0.4,0.05,35.5,67.5,0.0041,0.0305,0.1903,0.1350,0.9865,1.4589,0.9213,7350.0000,1.0513,0.0159
0.16,0.4,0.05,35.5,67.5,0.0041,0.0310,0.1935,0.1328,0.9870,1.4636,0.9224,7350.0000,1.0605,0.0162
0.16,0.4,0.05,35.5,67.5,0.0041,0.0315,0.1967,0.1307,0.9875,1.4685,0.9235,7350.0000,1.0698,0.0166
0.16,0.4,0.05,35.5,67.5,0.0041,0.0320,0.1999,0.1286,0.9881,1.4736,0.9245,7350.0000,1.0791,0.0169
0.16,0.4,0.05,35.5,67.5,0.0041,0.0325,0.2031,0.1265,0.9888,1.4787,0.9255,7350.0000,1.0884,0.0173
0.16,0.4,0.05,35.5,67.5,0.0041,0.0330,0.2063,0.1246,0.9895,1.4841,0.9265,7350.0000,1.0978,0.0176
0.16,0.4,0.05,35.5,67.5,0.0041,0.0335,0.2095,0.1227,0.9904,1.4896,0.9274,7350.0000,1.1072,0.0180
0.16,0.4,0.05,35.5,67.5,0.0041,0.0340,0.2127,0.1208,0.9913,1.4952,0.9283,7350.0000,1.1166,0.0183
0.16,0.4,0.05,35.5,67.5,0.0041,0.0345,0.2159,0.1191,0.9922,1.5010,0.9292,7350.0000,1.1261,0.0187
0.16,0.4,0.05,35.5,67.5,0.0041,0.0350,0.2191,0.1173,0.9933,1.5070,0.9301,7350.0000,1.1356,0.0191
0.16,0.4,0.05,35.5,67.5,0.0041,0.0356,0.2223,0.1156,0.9944,1.5131,0.9309,7350.0000,1.1451,0.0194
0.16,0.4,0.05,35.5,67.5,0.0041,0.0361,0.2254,0.1140,0.9956,1.5194,0.9317,7350.0000,1.1547,0.0198
